"2016-03-14T:08:51:04.356Z, ""load"", ""https://www.google.be/search?q=toledo&ie=utf-8&oe=utf-8&gws_rd=cr&ei=-Pv0Vv2vMuS9ygOh4K2YBg"", """""
"2016-03-14T:10:41:26.991Z, ""polling"", ""https://www.youtube.com/watch?v=imHUmZeAaqQ"", """""
"2016-03-14T:10:51:48.744Z, ""click"", ""https://www.youtube.com/watch?v=imHUmZeAaqQ"", ""https://www.youtube.com/"""
"2016-03-14T:10:51:48.907Z, ""polling"", ""https://www.youtube.com/"", """""
"2016-03-14T:10:51:52.164Z, ""load"", ""https://www.google.be/search?q=youtube&ie=utf-8&oe=utf-8&gws_rd=cr&ei=erTzVrHaCYLuO7TWmmg"", """""
"2016-03-14T:10:51:52.645Z, ""beforeunload"", ""https://www.google.be/search?q=youtube&ie=utf-8&oe=utf-8&gws_rd=cr&ei=erTzVrHaCYLuO7TWmmg"", """""
"2016-03-14T:10:52:10.191Z, ""click"", ""http://www.ted.com/"", ""http://www.ted.com/#"""
"2016-03-14T:10:52:07.082Z, ""load"", ""http://www.ted.com/"", """""
"2016-03-14T:10:52:10.581Z, ""polling"", ""http://www.ted.com/#"", """""
"2016-03-14T:10:52:13.393Z, ""click"", ""http://www.ted.com/#"", ""http://www.ted.com/#"""
"2016-03-14T:10:52:16.530Z, ""click"", ""http://www.ted.com/#"", ""http://www.ted.com/playlists/171/the_most_popular_talks_of_all"""
"2016-03-14T:10:52:16.595Z, ""beforeunload"", ""http://www.ted.com/#"", """""
"2016-03-14T:10:52:17.112Z, ""load"", ""http://www.ted.com/playlists/171/the_most_popular_talks_of_all"", """""
"2016-03-14T:10:52:32.679Z, ""click"", ""http://www.ted.com/playlists/171/the_most_popular_talks_of_all"", ""http://www.ted.com/about/programs-initiatives/ted-prize"""
"2016-03-14T:10:52:32.692Z, ""beforeunload"", ""http://www.ted.com/playlists/171/the_most_popular_talks_of_all"", """""
"2016-03-14T:10:52:33.510Z, ""load"", ""http://www.ted.com/about/programs-initiatives/ted-prize"", """""
"2016-03-14T:10:52:42.028Z, ""click"", ""http://www.ted.com/about/programs-initiatives/ted-prize"", ""http://www.ted.com/about/programs-initiatives/ted-ed"""
"2016-03-14T:10:52:43.339Z, ""load"", ""http://www.ted.com/about/programs-initiatives/ted-ed"", """""
"2016-03-14T:10:52:42.043Z, ""beforeunload"", ""http://www.ted.com/about/programs-initiatives/ted-prize"", """""
"2016-03-14T:10:53:23.423Z, ""click"", ""http://www.ted.com/about/programs-initiatives/ted-ed"", ""http://ed.ted.com/get_involved"""
"2016-03-14T:10:53:23.484Z, ""beforeunload"", ""http://www.ted.com/about/programs-initiatives/ted-ed"", """""
"2016-03-14T:10:53:24.996Z, ""load"", ""http://ed.ted.com/get_involved"", """""
"2016-03-14T:10:53:32.166Z, ""click"", ""http://ed.ted.com/get_involved"", ""http://ed.ted.com/get_involved#start-a-teded-club"""
"2016-03-14T:10:53:32.495Z, ""polling"", ""http://ed.ted.com/get_involved#start-a-teded-club"", """""
"2016-03-14T:10:53:38.906Z, ""click"", ""http://ed.ted.com/get_involved#start-a-teded-club"", ""http://support.ed.ted.com/customer/portal/topics/523862-ted-ed-clubs/articles"""
"2016-03-14T:10:53:39.686Z, ""load"", ""http://support.ed.ted.com/customer/portal/topics/523862-ted-ed-clubs/articles"", """""
"2016-03-14T:10:53:38.925Z, ""beforeunload"", ""http://ed.ted.com/get_involved#start-a-teded-club"", """""
"2016-03-14T:10:53:47.869Z, ""beforeunload"", ""http://support.ed.ted.com/customer/portal/topics/523862-ted-ed-clubs/articles"", """""
"2016-03-14T:10:53:51.014Z, ""load"", ""http://ed.ted.com/get_involved#start-a-teded-club"", """""
"2016-03-14T:10:53:54.014Z, ""load"", ""https://www.google.be/search?q=youtube&ie=utf-8&oe=utf-8&gws_rd=cr&ei=MbnzVtGAIceaPveRoYgB"", """""
"2016-03-14T:10:53:54.098Z, ""beforeunload"", ""http://ed.ted.com/get_involved#start-a-teded-club"", """""
"2016-03-14T:11:01:29.776Z, ""load"", ""https://www.google.be/search?q=toledo&ie=utf-8&oe=utf-8&gws_rd=cr&ei=GgP1VuP4CMH5yQP2x5vACQ"", """""
"2016-03-14T:11:01:30.790Z, ""click"", ""https://www.google.be/search?q=toledo&ie=utf-8&oe=utf-8&gws_rd=cr&ei=GgP1VuP4CMH5yQP2x5vACQ"", ""https://www.google.be/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&ved=0ahUKEwiDseO0wdvLAhUlinIKHdIeA0sQFggoMAA&url=https%3A%2F%2Ftoledo.kuleuven.be%2F&usg=AFQjCNGhDbFi61MBsss_BXI9mLUQgNS22w"""
"2016-03-14T:11:01:30.869Z, ""beforeunload"", ""https://www.google.be/search?q=toledo&ie=utf-8&oe=utf-8&gws_rd=cr&ei=GgP1VuP4CMH5yQP2x5vACQ"", """""
"2016-03-14T:11:01:31.855Z, ""load"", ""https://toledo.kuleuven.be/"", """""
"2016-03-14T:11:01:32.803Z, ""click"", ""https://toledo.kuleuven.be/"", ""https://toledo.kuleuven.be/portal"""
"2016-03-14T:11:01:32.815Z, ""beforeunload"", ""https://toledo.kuleuven.be/"", """""
"2016-03-14T:11:01:33.178Z, ""load"", ""https://toledo.kuleuven.be/portal/"", """""
"2016-03-14T:11:01:33.713Z, ""polling"", ""https://toledo.kuleuven.be/portal/#/home"", """""
"2016-03-14T:11:01:43.430Z, ""click"", ""https://toledo.kuleuven.be/portal/#/home"", ""https://p.cygnus.cc.kuleuven.be/webapps/tol-web-rs-bb-bb_bb60/goto_lu.do?batchUid=B-KUL-G0G88a-1516&entityId=urn%3Amace%3Akuleuven.be%3Akulassoc%3Akuleuven.be"""
"2016-03-14T:11:01:43.457Z, ""beforeunload"", ""https://toledo.kuleuven.be/portal/#/home"", """""
"2016-03-14T:11:01:43.923Z, ""load"", ""https://idp.kuleuven.be/idp/view/login.htm"", """""
"2016-03-14T:11:01:45.481Z, ""beforeunload"", ""https://idp.kuleuven.be/idp/view/login.htm"", """""
"2016-03-14T:11:01:45.752Z, ""load"", ""https://idp.kuleuven.be/idp/profile/SAML2/Redirect/SSO"", """""
"2016-03-14T:11:01:46.052Z, ""load"", ""https://p.cygnus.cc.kuleuven.be/webapps/tol-web-rs-bb-bb_bb60/goto_nowhite.do?rdl=%2Fwebapps%2Fbb-auth-provider-shibboleth-bb_bb60%2Fexecute%2FshibbolethLogin%3FauthProviderId%3D_104_1%26returnUrl%3D%252Fwebapps%252Fblackboard%252Fexecute%252FcourseMain%253Fcourse_id%253D_662915_1&altVersion=0"", """""
"2016-03-14T:11:01:45.756Z, ""beforeunload"", ""https://idp.kuleuven.be/idp/profile/SAML2/Redirect/SSO"", """""
"2016-03-14T:11:01:48.799Z, ""load"", ""https://p.cygnus.cc.kuleuven.be/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_662915_1&handle=announcements_entry&mode=view"", """""
"2016-03-14T:11:01:51.960Z, ""click"", ""https://p.cygnus.cc.kuleuven.be/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_662915_1&handle=announcements_entry&mode=view"", ""https://p.cygnus.cc.kuleuven.be/webapps/blackboard/content/launchLink.jsp?course_id=_662915_1&tool_id=_108_1&tool_type=TOOL&mode=view&mode=reset"""
"2016-03-14T:11:01:51.967Z, ""beforeunload"", ""https://p.cygnus.cc.kuleuven.be/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_662915_1&handle=announcements_entry&mode=view"", """""
"2016-03-14T:11:01:53.646Z, ""load"", ""https://p.cygnus.cc.kuleuven.be/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_662915_1&handle=announcements_entry&mode=view"", """""
"2016-03-14T:11:01:56.022Z, ""click"", ""https://p.cygnus.cc.kuleuven.be/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_662915_1&handle=announcements_entry&mode=view"", ""https://toledo.kuleuven.be/portal"""
"2016-03-14T:11:01:56.393Z, ""load"", ""https://toledo.kuleuven.be/portal/"", """""
"2016-03-14T:11:01:56.029Z, ""beforeunload"", ""https://p.cygnus.cc.kuleuven.be/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_662915_1&handle=announcements_entry&mode=view"", """""
"2016-03-14T:11:01:56.928Z, ""polling"", ""https://toledo.kuleuven.be/portal/#/home"", """""
"2016-03-14T:11:02:00.092Z, ""click"", ""https://toledo.kuleuven.be/portal/#/home"", ""https://toledo.kuleuven.be/portal/"""
"2016-03-14T:11:02:07.716Z, ""click"", ""https://toledo.kuleuven.be/portal/#/home"", ""https://p.cygnus.cc.kuleuven.be/webapps/tol-web-rs-bb-bb_bb60/goto_lu.do?batchUid=B-KUL-H05D9a-1516&entityId=urn%3Amace%3Akuleuven.be%3Akulassoc%3Akuleuven.be"""
"2016-03-14T:11:02:12.057Z, ""load"", ""https://p.cygnus.cc.kuleuven.be/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_660133_1&handle=announcements_entry&mode=view"", """""
"2016-03-14T:11:02:07.756Z, ""beforeunload"", ""https://toledo.kuleuven.be/portal/#/home"", """""
"2016-03-14T:11:02:16.801Z, ""click"", ""https://p.cygnus.cc.kuleuven.be/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_660133_1&handle=announcements_entry&mode=view"", ""https://p.cygnus.cc.kuleuven.be/webapps/blackboard/content/listContent.jsp?course_id=_660133_1&content_id=_15222243_1&mode=reset"""
"2016-03-14T:11:02:16.807Z, ""beforeunload"", ""https://p.cygnus.cc.kuleuven.be/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_660133_1&handle=announcements_entry&mode=view"", """""
"2016-03-14T:11:02:18.284Z, ""load"", ""https://p.cygnus.cc.kuleuven.be/webapps/blackboard/content/listContent.jsp?course_id=_660133_1&content_id=_15222243_1&mode=reset"", """""
