"2016-03-15T:08:23:34.137Z, ""load"", ""https://www.google.be/search?q=toledo&ie=utf-8&oe=utf-8&gws_rd=cr&ei=lgP1VuaWMefKygPAtol4"", """""
"2016-03-15T:08:23:49.253Z, ""click"", ""https://p.cygnus.cc.kuleuven.be/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_662204_1&handle=announcements_entry&mode=view"", ""https://p.cygnus.cc.kuleuven.be/webapps/blackboard/content/listContent.jsp?course_id=_662204_1&content_id=_17193515_1&mode=reset"""
"2016-03-15T:08:23:50.752Z, ""load"", ""https://p.cygnus.cc.kuleuven.be/webapps/blackboard/content/listContent.jsp?course_id=_662204_1&content_id=_17193515_1&mode=reset"", """""
"2016-03-15T:08:23:49.260Z, ""beforeunload"", ""https://p.cygnus.cc.kuleuven.be/webapps/blackboard/execute/announcement?method=search&context=course_entry&course_id=_662204_1&handle=announcements_entry&mode=view"", """""
"2016-03-15T:08:23:53.886Z, ""click"", ""https://p.cygnus.cc.kuleuven.be/webapps/blackboard/content/listContent.jsp?course_id=_662204_1&content_id=_17193515_1&mode=reset"", ""https://p.cygnus.cc.kuleuven.be/bbcswebdav/pid-17284443-dt-content-rid-72649804_2/xid-72649804_2"""
"2016-03-15T:08:23:54.414Z, ""load"", ""https://p.cygnus.cc.kuleuven.be/bbcswebdav/pid-17284443-dt-content-rid-72649804_2/courses/B-KUL-H02C6a-1516/jdavis-case%282%29.pdf"", """""
"2016-03-15T:08:23:59.899Z, ""click"", ""https://p.cygnus.cc.kuleuven.be/webapps/blackboard/content/listContent.jsp?course_id=_662204_1&content_id=_17193515_1&mode=reset"", ""https://p.cygnus.cc.kuleuven.be/bbcswebdav/pid-17264512-dt-content-rid-71463075_2/xid-71463075_2"""
"2016-03-15T:08:24:00.518Z, ""load"", ""https://p.cygnus.cc.kuleuven.be/bbcswebdav/pid-17264512-dt-content-rid-71463075_2/courses/B-KUL-H02C6a-1516/jdavis-ar-last.pdf"", """""
"2016-03-15T:08:24:02.542Z, ""click"", ""https://p.cygnus.cc.kuleuven.be/webapps/blackboard/content/listContent.jsp?course_id=_662204_1&content_id=_17193515_1&mode=reset"", ""https://p.cygnus.cc.kuleuven.be/bbcswebdav/pid-17248235-dt-content-rid-70805699_2/xid-70805699_2"""
"2016-03-15T:08:24:03.086Z, ""load"", ""https://p.cygnus.cc.kuleuven.be/bbcswebdav/pid-17248235-dt-content-rid-70805699_2/courses/B-KUL-H02C6a-1516/jdavis-apriori.pdf"", """""
"2016-03-15T:08:25:00.570Z, ""beforeunload"", ""https://p.cygnus.cc.kuleuven.be/bbcswebdav/pid-17248235-dt-content-rid-70805699_2/courses/B-KUL-H02C6a-1516/jdavis-apriori.pdf"", """""
"2016-03-15T:08:25:00.956Z, ""beforeunload"", ""https://p.cygnus.cc.kuleuven.be/bbcswebdav/pid-17264512-dt-content-rid-71463075_2/courses/B-KUL-H02C6a-1516/jdavis-ar-last.pdf"", """""
"2016-03-15T:08:25:01.345Z, ""beforeunload"", ""https://p.cygnus.cc.kuleuven.be/bbcswebdav/pid-17284443-dt-content-rid-72649804_2/courses/B-KUL-H02C6a-1516/jdavis-case%282%29.pdf"", """""
"2016-03-15T:08:25:04.767Z, ""beforeunload"", ""https://p.cygnus.cc.kuleuven.be/webapps/blackboard/content/listContent.jsp?course_id=_662204_1&content_id=_17193515_1&mode=reset"", """""
"2016-03-15T:08:25:05.162Z, ""load"", ""https://p.cygnus.cc.kuleuven.be/webapps/login/?action=logout"", """""
"2016-03-15T:08:25:05.427Z, ""load"", ""https://idp.kuleuven.be/idp/logout"", """""
"2016-03-15T:08:25:05.176Z, ""beforeunload"", ""https://p.cygnus.cc.kuleuven.be/webapps/login/?action=logout"", """""
"2016-03-15T:08:25:07.487Z, ""load"", ""https://idp.kuleuven.be/idp/logout"", """""
"2016-03-15T:08:25:07.526Z, ""beforeunload"", ""https://idp.kuleuven.be/idp/logout"", """""
"2016-03-15T:08:25:07.710Z, ""beforeunload"", ""https://idp.kuleuven.be/idp/logout"", """""
"2016-03-15T:10:33:55.747Z, ""click"", ""https://www.google.be/search?q=youtube&ie=utf-8&oe=utf-8&gws_rd=cr&ei=MbnzVtGAIceaPveRoYgB"", ""https://www.google.be/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&ved=0ahUKEwjd7-nkhtnLAhUEJQ8KHe75BRAQFggoMAA&url=https%3A%2F%2Fwww.youtube.com%2F%3Fhl%3Dnl%26gl%3DBE&usg=AFQjCNGbJF4ObBXQ5F9rgtg7ChZY-iyhNQ"""
"2016-03-15T:10:33:55.838Z, ""beforeunload"", ""https://www.google.be/search?q=youtube&ie=utf-8&oe=utf-8&gws_rd=cr&ei=MbnzVtGAIceaPveRoYgB"", """""
"2016-03-15T:10:33:57.157Z, ""load"", ""https://www.youtube.com/?hl=nl&gl=BE"", """""
"2016-03-15T:10:34:00.656Z, ""polling"", ""https://www.youtube.com/results?search_query=vlogbrothers"", """""
"2016-03-15T:10:34:02.234Z, ""click"", ""https://www.youtube.com/results?search_query=vlogbrothers"", ""https://www.youtube.com/user/vlogbrothers"""
"2016-03-15T:10:34:02.655Z, ""polling"", ""https://www.youtube.com/user/vlogbrothers"", """""
"2016-03-15T:10:34:04.958Z, ""click"", ""https://www.youtube.com/user/vlogbrothers"", ""https://www.youtube.com/user/vlogbrothers/videos"""
"2016-03-15T:10:34:05.156Z, ""polling"", ""https://www.youtube.com/user/vlogbrothers/videos"", """""
"2016-03-15T:10:34:08.650Z, ""polling"", ""https://www.youtube.com/user/vlogbrothers/videos?view=0&flow=grid&sort=da"", """""
"2016-03-15T:10:34:12.865Z, ""click"", ""https://www.youtube.com/user/vlogbrothers/videos?view=0&flow=grid&sort=da"", ""https://www.youtube.com/watch?v=Kwm-CtgFTb8"""
"2016-03-15T:10:34:13.150Z, ""polling"", ""https://www.youtube.com/watch?v=Kwm-CtgFTb8"", """""
"2016-03-15T:10:34:32.041Z, ""click"", ""https://www.youtube.com/watch?v=Kwm-CtgFTb8"", """""
"2016-03-15T:10:36:42.213Z, ""polling"", ""https://www.youtube.com/results?search_query=smarter+every+day"", """""
"2016-03-15T:10:36:45.087Z, ""click"", ""https://www.youtube.com/results?search_query=smarter+every+day"", ""https://www.youtube.com/user/destinws2"""
"2016-03-15T:10:36:45.159Z, ""polling"", ""https://www.youtube.com/user/destinws2"", """""
"2016-03-15T:10:36:47.121Z, ""click"", ""https://www.youtube.com/user/destinws2"", ""https://www.youtube.com/user/destinws2/videos"""
"2016-03-15T:10:36:47.169Z, ""polling"", ""https://www.youtube.com/user/destinws2/videos"", """""
"2016-03-15T:10:36:51.168Z, ""polling"", ""https://www.youtube.com/user/destinws2/videos?flow=grid&view=0&sort=da"", """""
"2016-03-15T:10:36:55.801Z, ""click"", ""https://www.youtube.com/user/destinws2/videos?flow=grid&view=0&sort=da"", ""https://www.youtube.com/watch?v=CopEMZJBHtg"""
"2016-03-15T:10:36:56.216Z, ""polling"", ""https://www.youtube.com/watch?v=CopEMZJBHtg"", """""
"2016-03-15T:10:37:49.155Z, ""polling"", ""https://www.youtube.com/user/destinws2/videos?flow=grid&view=0&sort=da"", """""
"2016-03-15T:10:37:51.102Z, ""click"", ""https://www.youtube.com/user/destinws2/videos?flow=grid&view=0&sort=da"", ""https://www.youtube.com/watch?v=LwKcOCYr3D8"""
"2016-03-15T:10:37:51.159Z, ""polling"", ""https://www.youtube.com/watch?v=LwKcOCYr3D8"", """""
"2016-03-15T:10:39:28.770Z, ""polling"", ""https://www.youtube.com/user/destinws2/videos?flow=grid&view=0&sort=da"", """""
"2016-03-15T:10:39:31.134Z, ""click"", ""https://www.youtube.com/user/destinws2/videos?flow=grid&view=0&sort=da"", ""https://www.youtube.com/watch?v=8rr_Ymg4XiY"""
"2016-03-15T:10:39:31.170Z, ""polling"", ""https://www.youtube.com/watch?v=8rr_Ymg4XiY"", """""
"2016-03-15T:10:42:44.696Z, ""polling"", ""https://www.youtube.com/user/destinws2/videos?flow=grid&view=0&sort=da"", """""
"2016-03-15T:10:42:47.666Z, ""click"", ""https://www.youtube.com/user/destinws2/videos?flow=grid&view=0&sort=da"", ""https://www.youtube.com/watch?v=PTFOc5Ltd5A"""
"2016-03-15T:10:42:48.197Z, ""polling"", ""https://www.youtube.com/watch?v=PTFOc5Ltd5A"", """""
"2016-03-15T:10:43:57.677Z, ""polling"", ""https://www.youtube.com/results?search_query=fail"", """""
"2016-03-15T:10:44:00.074Z, ""click"", ""https://www.youtube.com/results?search_query=fail"", ""https://www.youtube.com/user/failarmy"""
"2016-03-15T:10:44:00.150Z, ""polling"", ""https://www.youtube.com/user/failarmy"", """""
"2016-03-15T:10:44:02.773Z, ""click"", ""https://www.youtube.com/user/failarmy"", ""https://www.youtube.com/user/failarmy/videos"""
"2016-03-15T:10:44:03.157Z, ""polling"", ""https://www.youtube.com/user/failarmy/videos"", """""
"2016-03-15T:10:44:06.662Z, ""click"", ""https://www.youtube.com/user/failarmy/videos"", ""https://www.youtube.com/watch?v=7lsJWMJXEpE"""
"2016-03-15T:10:44:07.367Z, ""polling"", ""https://www.youtube.com/watch?v=7lsJWMJXEpE"", """""
"2016-03-15T:10:46:05.979Z, ""click"", ""https://www.youtube.com/user/failarmy/videos"", ""https://www.youtube.com/watch?v=a-DK7ViOVzM"""
"2016-03-15T:10:46:04.779Z, ""polling"", ""https://www.youtube.com/user/failarmy/videos"", """""
"2016-03-15T:10:46:06.170Z, ""polling"", ""https://www.youtube.com/watch?v=a-DK7ViOVzM"", """""
"2016-03-15T:10:52:31.932Z, ""click"", ""https://www.youtube.com/watch?v=a-DK7ViOVzM"", ""https://www.youtube.com/"""
"2016-03-15T:10:52:32.159Z, ""polling"", ""https://www.youtube.com/"", """""
"2016-03-15T:10:52:38.567Z, ""load"", ""https://www.google.be/search?q=waitbutwhy&ie=utf-8&oe=utf-8&gws_rd=cr&ei=lr3zVrXwFoauPLzTrPAH"", """""
"2016-03-15T:10:52:39.960Z, ""click"", ""https://www.google.be/search?q=waitbutwhy&ie=utf-8&oe=utf-8&gws_rd=cr&ei=lr3zVrXwFoauPLzTrPAH"", ""https://www.google.be/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&ved=0ahUKEwjSiIf9itnLAhXDIQ8KHRPcAnYQFggoMAA&url=http%3A%2F%2Fwaitbutwhy.com%2F&usg=AFQjCNHNiLlZr2_0rhnWs-WXVG8oOlcuRQ"""
"2016-03-15T:10:52:40.060Z, ""beforeunload"", ""https://www.google.be/search?q=waitbutwhy&ie=utf-8&oe=utf-8&gws_rd=cr&ei=lr3zVrXwFoauPLzTrPAH"", """""
"2016-03-15T:10:52:46.983Z, ""click"", ""http://waitbutwhy.com/"", ""http://waitbutwhy.com/wait-but-who"""
"2016-03-15T:10:52:43.997Z, ""load"", ""http://waitbutwhy.com/"", """""
"2016-03-15T:10:52:47.004Z, ""beforeunload"", ""http://waitbutwhy.com/"", """""
"2016-03-15T:10:52:47.805Z, ""load"", ""http://waitbutwhy.com/wait-but-who"", """""
"2016-03-15T:10:53:46.631Z, ""click"", ""http://waitbutwhy.com/wait-but-who"", ""http://waitbutwhy.com/archive"""
"2016-03-15T:10:53:46.641Z, ""beforeunload"", ""http://waitbutwhy.com/wait-but-who"", """""
"2016-03-15T:10:53:47.668Z, ""load"", ""http://waitbutwhy.com/archive"", """""
"2016-03-15T:10:54:42.682Z, ""click"", ""http://waitbutwhy.com/archive"", ""http://waitbutwhy.com/2014/02/pick-life-partner.html"""
"2016-03-15T:10:54:44.380Z, ""load"", ""http://waitbutwhy.com/2014/02/pick-life-partner.html"", """""
"2016-03-15T:10:54:42.692Z, ""beforeunload"", ""http://waitbutwhy.com/archive"", """""
"2016-03-15T:10:57:03.946Z, ""beforeunload"", ""https://www.youtube.com/"", """""
"2016-03-15T:10:57:04.780Z, ""beforeunload"", ""https://www.youtube.com/"", """""
"2016-03-15T:10:57:35.466Z, ""beforeunload"", ""http://waitbutwhy.com/2014/02/pick-life-partner.html"", """""
"2016-03-15T:11:00:41.870Z, ""load"", ""https://self-repair.mozilla.org/en-US/repair/"", """""
"2016-03-15T:11:00:55.252Z, ""load"", ""https://www.google.be/search?q=webmail+kuleuven&ie=utf-8&oe=utf-8&gws_rd=cr&ei=xxT1VsTHK-Hi6AS99qKQAQ"", """""
"2016-03-15T:11:00:57.142Z, ""click"", ""https://www.google.be/search?q=webmail+kuleuven&ie=utf-8&oe=utf-8&gws_rd=cr&ei=xxT1VsTHK-Hi6AS99qKQAQ"", ""https://www.google.be/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&ved=0ahUKEwi5-tyi0tvLAhUDv3IKHaN-AEwQFggoMAA&url=https%3A%2F%2Fwebmail.kuleuven.be%2F&usg=AFQjCNFf1TKH8WxLDUdTOsLNAYeW58n7Jg"""
"2016-03-15T:11:00:57.234Z, ""beforeunload"", ""https://www.google.be/search?q=webmail+kuleuven&ie=utf-8&oe=utf-8&gws_rd=cr&ei=xxT1VsTHK-Hi6AS99qKQAQ"", """""
"2016-03-15T:11:00:58.231Z, ""load"", ""https://webmail.kuleuven.be/"", """""
"2016-03-15T:11:01:00.331Z, ""click"", ""https://webmail.kuleuven.be/"", ""https://owa.student.kuleuven.be/"""
"2016-03-15T:11:01:00.336Z, ""beforeunload"", ""https://webmail.kuleuven.be/"", """""
"2016-03-15T:11:01:01.001Z, ""load"", ""https://idp.kuleuven.be/idp/view/login.htm"", """""
"2016-03-15T:11:01:03.649Z, ""beforeunload"", ""https://idp.kuleuven.be/idp/view/login.htm"", """""
"2016-03-15T:11:01:03.913Z, ""load"", ""https://idp.kuleuven.be/idp/profile/SAML2/Redirect/SSO"", """""
"2016-03-15T:11:01:03.920Z, ""beforeunload"", ""https://idp.kuleuven.be/idp/profile/SAML2/Redirect/SSO"", """""
"2016-03-15T:11:01:07.176Z, ""load"", ""https://owa.student.kuleuven.be/owa/?authToken=eyJ0eXAiOiJKV1QiLCJhbGciOiJSUzI1NiIsIng1dCI6IjYwd19nR3FhNjBtV3NOSlYxZnlaY3RpVWlacyJ9.eyJhdWQiOiJ1cm46QXBwUHJveHk6Y29tIiwiaXNzIjoiaHR0cDovL2ZzLmt1bGV1dmVuLmJlL2FkZnMvc2VydmljZXMvdHJ1c3QiLCJpYXQiOjE0NTg5MDIyMjUsImV4cCI6MTQ1ODkwNTgyNSwicmVseWluZ3BhcnR5dHJ1c3RpZCI6IjcxMGYyMGRmLWQyMmEtZTUxMS04MGMyLTAwNTA1Njk0NjVlMyIsInVwbiI6InIwNTg4MjU4QGt1bGV1dmVuLmJlIiwiY2xpZW50cmVxaWQiOiIwMDAwMDAwMC0wMDAwLTAwMDAtYjhhNi0wMTgwMDcwMDAwMmIiLCJhdXRobWV0aG9kIjoidXJuOm9hc2lzOm5hbWVzOnRjOlNBTUw6Mi4wOmFjOmNsYXNzZXM6UGFzc3dvcmRQcm90ZWN0ZWRUcmFuc3BvcnQiLCJhdXRoX3RpbWUiOiIyMDE2LTAzLTI1VDEwOjM3OjA1LjA1NVoiLCJ2ZXIiOiIxLjAifQ.cCpFibuVgxlmHzFaGGIDXYhy3JyPaxDccoyTotUlRbrMzbAtMSMhJ3jwObQ-4bz3I6Ro2H6Hg77psWB4-SMDZhoSG6vcuc3kOGw3fhtRVld9sDmP-o4tRU5PW-pZWK0p0Bdq7Tc3cGbRUz54AjXRYPWU42Vjgosi9p6Khf2cScBPMT3p1JwuC05bJD1JisQ5QHoMRRia9XQ3gSttElm1aGArPHu07Zhxtid1kMjHyZaHR4Ve6sm2Uu-R2j8fs9KNNiN5ZwjLCbHPrygq5pPGdhFjo00RQtYLgMvvPWsrB0cvtXjnTfWnhHmldfvNtGCEPsf-oD_DxaPHPs25MDIxaA#path=/mail"", """""
"2016-03-15T:11:02:26.820Z, ""load"", ""https://idp.kuleuven.be/idp/profile/SAML2/Redirect/SSO"", """""
"2016-03-15T:11:02:27.066Z, ""beforeunload"", ""https://idp.kuleuven.be/idp/profile/SAML2/Redirect/SSO"", """""
"2016-03-15T:11:02:28.239Z, ""load"", ""https://owa.student.kuleuven.be/owa/?authToken=eyJ0eXAiOiJKV1QiLCJhbGciOiJSUzI1NiIsIng1dCI6IjYwd19nR3FhNjBtV3NOSlYxZnlaY3RpVWlacyJ9.eyJhdWQiOiJ1cm46QXBwUHJveHk6Y29tIiwiaXNzIjoiaHR0cDovL2ZzLmt1bGV1dmVuLmJlL2FkZnMvc2VydmljZXMvdHJ1c3QiLCJpYXQiOjE0NTg5MDIyMjUsImV4cCI6MTQ1ODkwNTgyNSwicmVseWluZ3BhcnR5dHJ1c3RpZCI6IjcxMGYyMGRmLWQyMmEtZTUxMS04MGMyLTAwNTA1Njk0NjVlMyIsInVwbiI6InIwNTg4MjU4QGt1bGV1dmVuLmJlIiwiY2xpZW50cmVxaWQiOiIwMDAwMDAwMC0wMDAwLTAwMDAtYjhhNi0wMTgwMDcwMDAwMmIiLCJhdXRobWV0aG9kIjoidXJuOm9hc2lzOm5hbWVzOnRjOlNBTUw6Mi4wOmFjOmNsYXNzZXM6UGFzc3dvcmRQcm90ZWN0ZWRUcmFuc3BvcnQiLCJhdXRoX3RpbWUiOiIyMDE2LTAzLTI1VDEwOjM3OjA1LjA1NVoiLCJ2ZXIiOiIxLjAifQ.cCpFibuVgxlmHzFaGGIDXYhy3JyPaxDccoyTotUlRbrMzbAtMSMhJ3jwObQ-4bz3I6Ro2H6Hg77psWB4-SMDZhoSG6vcuc3kOGw3fhtRVld9sDmP-o4tRU5PW-pZWK0p0Bdq7Tc3cGbRUz54AjXRYPWU42Vjgosi9p6Khf2cScBPMT3p1JwuC05bJD1JisQ5QHoMRRia9XQ3gSttElm1aGArPHu07Zhxtid1kMjHyZaHR4Ve6sm2Uu-R2j8fs9KNNiN5ZwjLCbHPrygq5pPGdhFjo00RQtYLgMvvPWsrB0cvtXjnTfWnhHmldfvNtGCEPsf-oD_DxaPHPs25MDIxaA#path=/mail"", """""
"2016-03-15T:11:02:28.281Z, ""beforeunload"", ""https://owa.student.kuleuven.be/owa/?authToken=eyJ0eXAiOiJKV1QiLCJhbGciOiJSUzI1NiIsIng1dCI6IjYwd19nR3FhNjBtV3NOSlYxZnlaY3RpVWlacyJ9.eyJhdWQiOiJ1cm46QXBwUHJveHk6Y29tIiwiaXNzIjoiaHR0cDovL2ZzLmt1bGV1dmVuLmJlL2FkZnMvc2VydmljZXMvdHJ1c3QiLCJpYXQiOjE0NTg5MDIyMjUsImV4cCI6MTQ1ODkwNTgyNSwicmVseWluZ3BhcnR5dHJ1c3RpZCI6IjcxMGYyMGRmLWQyMmEtZTUxMS04MGMyLTAwNTA1Njk0NjVlMyIsInVwbiI6InIwNTg4MjU4QGt1bGV1dmVuLmJlIiwiY2xpZW50cmVxaWQiOiIwMDAwMDAwMC0wMDAwLTAwMDAtYjhhNi0wMTgwMDcwMDAwMmIiLCJhdXRobWV0aG9kIjoidXJuOm9hc2lzOm5hbWVzOnRjOlNBTUw6Mi4wOmFjOmNsYXNzZXM6UGFzc3dvcmRQcm90ZWN0ZWRUcmFuc3BvcnQiLCJhdXRoX3RpbWUiOiIyMDE2LTAzLTI1VDEwOjM3OjA1LjA1NVoiLCJ2ZXIiOiIxLjAifQ.cCpFibuVgxlmHzFaGGIDXYhy3JyPaxDccoyTotUlRbrMzbAtMSMhJ3jwObQ-4bz3I6Ro2H6Hg77psWB4-SMDZhoSG6vcuc3kOGw3fhtRVld9sDmP-o4tRU5PW-pZWK0p0Bdq7Tc3cGbRUz54AjXRYPWU42Vjgosi9p6Khf2cScBPMT3p1JwuC05bJD1JisQ5QHoMRRia9XQ3gSttElm1aGArPHu07Zhxtid1kMjHyZaHR4Ve6sm2Uu-R2j8fs9KNNiN5ZwjLCbHPrygq5pPGdhFjo00RQtYLgMvvPWsrB0cvtXjnTfWnhHmldfvNtGCEPsf-oD_DxaPHPs25MDIxaA#path=/mail"", """""
"2016-03-15T:11:02:29.031Z, ""load"", ""https://owa.student.kuleuven.be/owa/?authToken=eyJ0eXAiOiJKV1QiLCJhbGciOiJSUzI1NiIsIng1dCI6IjYwd19nR3FhNjBtV3NOSlYxZnlaY3RpVWlacyJ9.eyJhdWQiOiJ1cm46QXBwUHJveHk6Y29tIiwiaXNzIjoiaHR0cDovL2ZzLmt1bGV1dmVuLmJlL2FkZnMvc2VydmljZXMvdHJ1c3QiLCJpYXQiOjE0NTg5MDIyMjUsImV4cCI6MTQ1ODkwNTgyNSwicmVseWluZ3BhcnR5dHJ1c3RpZCI6IjcxMGYyMGRmLWQyMmEtZTUxMS04MGMyLTAwNTA1Njk0NjVlMyIsInVwbiI6InIwNTg4MjU4QGt1bGV1dmVuLmJlIiwiY2xpZW50cmVxaWQiOiIwMDAwMDAwMC0wMDAwLTAwMDAtYjhhNi0wMTgwMDcwMDAwMmIiLCJhdXRobWV0aG9kIjoidXJuOm9hc2lzOm5hbWVzOnRjOlNBTUw6Mi4wOmFjOmNsYXNzZXM6UGFzc3dvcmRQcm90ZWN0ZWRUcmFuc3BvcnQiLCJhdXRoX3RpbWUiOiIyMDE2LTAzLTI1VDEwOjM3OjA1LjA1NVoiLCJ2ZXIiOiIxLjAifQ.cCpFibuVgxlmHzFaGGIDXYhy3JyPaxDccoyTotUlRbrMzbAtMSMhJ3jwObQ-4bz3I6Ro2H6Hg77psWB4-SMDZhoSG6vcuc3kOGw3fhtRVld9sDmP-o4tRU5PW-pZWK0p0Bdq7Tc3cGbRUz54AjXRYPWU42Vjgosi9p6Khf2cScBPMT3p1JwuC05bJD1JisQ5QHoMRRia9XQ3gSttElm1aGArPHu07Zhxtid1kMjHyZaHR4Ve6sm2Uu-R2j8fs9KNNiN5ZwjLCbHPrygq5pPGdhFjo00RQtYLgMvvPWsrB0cvtXjnTfWnhHmldfvNtGCEPsf-oD_DxaPHPs25MDIxaA&bO=1#path=/mail"", """""
"2016-03-15T:11:02:29.077Z, ""beforeunload"", ""https://owa.student.kuleuven.be/owa/?authToken=eyJ0eXAiOiJKV1QiLCJhbGciOiJSUzI1NiIsIng1dCI6IjYwd19nR3FhNjBtV3NOSlYxZnlaY3RpVWlacyJ9.eyJhdWQiOiJ1cm46QXBwUHJveHk6Y29tIiwiaXNzIjoiaHR0cDovL2ZzLmt1bGV1dmVuLmJlL2FkZnMvc2VydmljZXMvdHJ1c3QiLCJpYXQiOjE0NTg5MDIyMjUsImV4cCI6MTQ1ODkwNTgyNSwicmVseWluZ3BhcnR5dHJ1c3RpZCI6IjcxMGYyMGRmLWQyMmEtZTUxMS04MGMyLTAwNTA1Njk0NjVlMyIsInVwbiI6InIwNTg4MjU4QGt1bGV1dmVuLmJlIiwiY2xpZW50cmVxaWQiOiIwMDAwMDAwMC0wMDAwLTAwMDAtYjhhNi0wMTgwMDcwMDAwMmIiLCJhdXRobWV0aG9kIjoidXJuOm9hc2lzOm5hbWVzOnRjOlNBTUw6Mi4wOmFjOmNsYXNzZXM6UGFzc3dvcmRQcm90ZWN0ZWRUcmFuc3BvcnQiLCJhdXRoX3RpbWUiOiIyMDE2LTAzLTI1VDEwOjM3OjA1LjA1NVoiLCJ2ZXIiOiIxLjAifQ.cCpFibuVgxlmHzFaGGIDXYhy3JyPaxDccoyTotUlRbrMzbAtMSMhJ3jwObQ-4bz3I6Ro2H6Hg77psWB4-SMDZhoSG6vcuc3kOGw3fhtRVld9sDmP-o4tRU5PW-pZWK0p0Bdq7Tc3cGbRUz54AjXRYPWU42Vjgosi9p6Khf2cScBPMT3p1JwuC05bJD1JisQ5QHoMRRia9XQ3gSttElm1aGArPHu07Zhxtid1kMjHyZaHR4Ve6sm2Uu-R2j8fs9KNNiN5ZwjLCbHPrygq5pPGdhFjo00RQtYLgMvvPWsrB0cvtXjnTfWnhHmldfvNtGCEPsf-oD_DxaPHPs25MDIxaA&bO=1#path=/mail"", """""
"2016-03-15T:11:02:29.366Z, ""load"", ""https://fs.kuleuven.be/adfs/ls?version=1.0&action=signin&realm=urn%3AAppProxy%3Acom&appRealm=710f20df-d22a-e511-80c2-0050569465e3&returnUrl=https%3A%2F%2Fowa.student.kuleuven.be%2Fowa%2Fauth%2Ferrorfe.aspx%3FowaError%3DSDServerErr%3Bnull%26owaVer%3Dnull%26be%3Dnull%26msg%3Dnull&client-request-id=4C340DD2-701E-0000-A83C-5C4D1E70D101"", """""
"2016-03-15T:11:02:29.480Z, ""beforeunload"", ""https://fs.kuleuven.be/adfs/ls?version=1.0&action=signin&realm=urn%3AAppProxy%3Acom&appRealm=710f20df-d22a-e511-80c2-0050569465e3&returnUrl=https%3A%2F%2Fowa.student.kuleuven.be%2Fowa%2Fauth%2Ferrorfe.aspx%3FowaError%3DSDServerErr%3Bnull%26owaVer%3Dnull%26be%3Dnull%26msg%3Dnull&client-request-id=4C340DD2-701E-0000-A83C-5C4D1E70D101"", """""
"2016-03-15T:11:02:29.892Z, ""load"", ""https://www.google.be/search?q=asml+leuven&ie=utf-8&oe=utf-8&gws_rd=cr&ei=JhX1VuDzFKSiyAPiqIboCQ"", """""
"2016-03-15T:11:02:37.665Z, ""click"", ""https://www.google.be/search?q=asml+leuven&ie=utf-8&oe=utf-8&gws_rd=cr&ei=JhX1VuDzFKSiyAPiqIboCQ"", ""https://www.google.be/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&ved=0ahUKEwj7pu_P0tvLAhUkEXIKHWKUAZ0QFggoMAA&url=http%3A%2F%2Fwww.leuveninc.com%2Fevent%2F36%2F3126%2FASML_and_imec_launch_Advanced_Patterning_Center%2F&usg=AFQjCNFrD-izrjcJIPLo_8LvUiODoedVvA"""
